ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_AEV,r1_AN,r1_APP,r1_APRA,r1_AvP,r1_CPP,r1_CoopP,r1_FE,r1_FE21,r1_FP,r1_FREPAP,r1_FyL,r1_JxP,r1_LP,r1_Morado,r1_Obras,r1_PBG,r1_PDF,r1_PDU,r1_PDV,r1_PID,r1_PL,r1_PLG,r1_PM4,r1_PP1,r1_PPA,r1_PPP,r1_PRG,r1_PRIN,r1_PTE,r1_Podemos,r1_PxT,r1_RP,r1_SAP,r1_SICREO,r1_SP20,r1_UCD,r1_UN,r1_total_valid,r1_blank,r1_null,r1_pct_AEV,r1_pct_AN,r1_pct_APP,r1_pct_APRA,r1_pct_AvP,r1_pct_CPP,r1_pct_CoopP,r1_pct_FE,r1_pct_FE21,r1_pct_FP,r1_pct_FREPAP,r1_pct_FyL,r1_pct_JxP,r1_pct_LP,r1_pct_Morado,r1_pct_Obras,r1_pct_PBG,r1_pct_PDF,r1_pct_PDU,r1_pct_PDV,r1_pct_PID,r1_pct_PL,r1_pct_PLG,r1_pct_PM4,r1_pct_PP1,r1_pct_PPA,r1_pct_PPP,r1_pct_PRG,r1_pct_PRIN,r1_pct_PTE,r1_pct_Podemos,r1_pct_PxT,r1_pct_RP,r1_pct_SAP,r1_pct_SICREO,r1_pct_SP20,r1_pct_UCD,r1_pct_UN,r1_winner
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,10.0,74.0,5.0,4.0,0.0,0.0,1.0,1.0,2.0,209.0,0.0,0.0,165.0,2.0,2.0,66.0,25.0,1.0,0.0,2.0,0.0,7.0,8.0,0.0,3.0,1.0,12.0,1.0,1.0,0.0,10.0,30.0,24.0,0.0,17.0,25.0,2.0,0.0,710,102,35,1.4085,10.4225,0.7042,0.5634,0.0,0.0,0.1408,0.1408,0.2817,29.4366,0.0,0.0,23.2394,0.2817,0.2817,9.2958,3.5211,0.1408,0.0,0.2817,0.0,0.9859,1.1268,0.0,0.4225,0.1408,1.6901,0.1408,0.1408,0.0,1.4085,4.2254,3.3803,0.0,2.3944,3.5211,0.2817,0.0,FP
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,3.0,33.0,35.0,16.0,1.0,0.0,4.0,3.0,13.0,89.0,0.0,2.0,57.0,23.0,3.0,60.0,7.0,3.0,10.0,1.0,0.0,0.0,4.0,0.0,2.0,5.0,4.0,1.0,1.0,1.0,42.0,24.0,13.0,1.0,2.0,3.0,2.0,0.0,468,81,54,0.641,7.0513,7.4786,3.4188,0.2137,0.0,0.8547,0.641,2.7778,19.0171,0.0,0.4274,12.1795,4.9145,0.641,12.8205,1.4957,0.641,2.1368,0.2137,0.0,0.0,0.8547,0.0,0.4274,1.0684,0.8547,0.2137,0.2137,0.2137,8.9744,5.1282,2.7778,0.2137,0.4274,0.641,0.4274,0.0,FP
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,8.0,48.0,10.0,0.0,0.0,0.0,5.0,0.0,2.0,145.0,0.0,1.0,113.0,1.0,2.0,46.0,5.0,1.0,0.0,2.0,4.0,2.0,11.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,7.0,16.0,15.0,1.0,7.0,8.0,2.0,0.0,469,114,25,1.7058,10.2345,2.1322,0.0,0.0,0.0,1.0661,0.0,0.4264,30.9168,0.0,0.2132,24.0938,0.2132,0.4264,9.8081,1.0661,0.2132,0.0,0.4264,0.8529,0.4264,2.3454,0.2132,0.4264,0.0,0.8529,0.0,0.0,0.0,1.4925,3.4115,3.1983,0.2132,1.4925,1.7058,0.4264,0.0,FP
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,19.0,174.0,22.0,7.0,0.0,0.0,8.0,2.0,10.0,273.0,0.0,0.0,244.0,1.0,8.0,128.0,96.0,2.0,6.0,5.0,3.0,15.0,21.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,12.0,32.0,72.0,2.0,36.0,25.0,3.0,3.0,1249,223,98,1.5212,13.9311,1.7614,0.5604,0.0,0.0,0.6405,0.1601,0.8006,21.8575,0.0,0.0,19.5356,0.0801,0.6405,10.2482,7.6861,0.1601,0.4804,0.4003,0.2402,1.201,1.6813,0.0801,0.1601,0.2402,0.4804,0.3203,0.1601,0.1601,0.9608,2.562,5.7646,0.1601,2.8823,2.0016,0.2402,0.2402,FP
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,7.0,62.0,10.0,3.0,0.0,0.0,0.0,1.0,2.0,54.0,0.0,1.0,61.0,0.0,1.0,63.0,30.0,0.0,2.0,1.0,0.0,2.0,15.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,15.0,0.0,4.0,27.0,0.0,0.0,376,56,44,1.8617,16.4894,2.6596,0.7979,0.0,0.0,0.0,0.266,0.5319,14.3617,0.0,0.266,16.2234,0.0,0.266,16.7553,7.9787,0.0,0.5319,0.266,0.0,0.5319,3.9894,0.0,0.0,0.5319,0.266,0.0,0.0,0.0,0.5319,2.6596,3.9894,0.0,1.0638,7.1809,0.0,0.0,Obras
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,7.0,35.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,33.0,0.0,0.0,58.0,1.0,1.0,38.0,9.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,9.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,3.0,12.0,1.0,0.0,239,34,20,2.9289,14.6444,2.5105,0.0,0.0,0.0,1.2552,0.0,0.8368,13.8075,0.0,0.0,24.2678,0.4184,0.4184,15.8996,3.7657,0.0,0.8368,0.4184,0.0,0.0,2.0921,0.0,0.8368,0.4184,3.7657,0.4184,0.0,0.4184,0.8368,0.8368,1.6736,0.0,1.2552,5.0209,0.4184,0.0,JxP
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,8.0,29.0,17.0,9.0,0.0,0.0,6.0,2.0,6.0,49.0,0.0,0.0,118.0,0.0,2.0,89.0,13.0,1.0,1.0,0.0,0.0,8.0,8.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,8.0,13.0,7.0,0.0,5.0,3.0,0.0,3.0,413,119,32,1.937,7.0218,4.1162,2.1792,0.0,0.0,1.4528,0.4843,1.4528,11.8644,0.0,0.0,28.5714,0.0,0.4843,21.5496,3.1477,0.2421,0.2421,0.0,0.0,1.937,1.937,0.2421,0.4843,0.0,0.9685,0.2421,0.0,0.0,1.937,3.1477,1.6949,0.0,1.2107,0.7264,0.0,0.7264,JxP
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,9.0,34.0,5.0,0.0,4.0,0.0,1.0,0.0,2.0,34.0,0.0,0.0,20.0,0.0,1.0,37.0,21.0,0.0,1.0,1.0,0.0,3.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,18.0,0.0,6.0,3.0,0.0,0.0,216,47,19,4.1667,15.7407,2.3148,0.0,1.8519,0.0,0.463,0.0,0.9259,15.7407,0.0,0.0,9.2593,0.0,0.463,17.1296,9.7222,0.0,0.463,0.463,0.0,1.3889,3.7037,0.0,0.463,0.0,1.3889,0.463,0.0,0.0,0.463,0.9259,8.3333,0.0,2.7778,1.3889,0.0,0.0,Obras
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,4.0,35.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,90.0,0.0,0.0,38.0,12.0,2.0,1.0,2.0,3.0,4.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,8.0,8.0,3.0,17.0,11.0,0.0,1.0,422,74,28,0.9479,8.2938,2.8436,2.8436,0.0,0.0,0.0,0.0,0.237,33.4123,0.0,0.0,21.327,0.0,0.0,9.0047,2.8436,0.4739,0.237,0.4739,0.7109,0.9479,1.8957,0.0,0.4739,0.0,0.4739,0.0,0.0,0.0,1.1848,1.8957,1.8957,0.7109,4.0284,2.6066,0.0,0.237,FP
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,32.0,34.0,19.0,1.0,0.0,0.0,6.0,0.0,9.0,124.0,0.0,4.0,150.0,3.0,7.0,123.0,27.0,0.0,12.0,5.0,4.0,8.0,13.0,0.0,13.0,1.0,4.0,2.0,1.0,0.0,7.0,12.0,32.0,1.0,15.0,48.0,1.0,1.0,719,205,98,4.4506,4.7288,2.6426,0.1391,0.0,0.0,0.8345,0.0,1.2517,17.2462,0.0,0.5563,20.8623,0.4172,0.9736,17.1071,3.7552,0.0,1.669,0.6954,0.5563,1.1127,1.8081,0.0,1.8081,0.1391,0.5563,0.2782,0.1391,0.0,0.9736,1.669,4.4506,0.1391,2.0862,6.6759,0.1391,0.1391,JxP
010121,AMAZONAS,CHACHAPOYAS,SONCHE,4.0,29.0,4.0,7.0,0.0,0.0,3.0,0.0,1.0,72.0,0.0,0.0,27.0,0.0,2.0,27.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,14.0,4.0,0.0,4.0,6.0,0.0,0.0,218,58,19,1.8349,13.3028,1.8349,3.211,0.0,0.0,1.3761,0.0,0.4587,33.0275,0.0,0.0,12.3853,0.0,0.9174,12.3853,0.4587,0.0,0.4587,0.0,0.0,1.3761,1.8349,0.0,0.4587,0.0,0.4587,0.4587,0.4587,0.0,0.4587,6.422,1.8349,0.0,1.8349,2.7523,0.0,0.0,FP
010201,AMAZONAS,BAGUA,BAGUA,22.0,152.0,72.0,54.0,3.0,0.0,43.0,7.0,29.0,695.0,0.0,3.0,1175.0,1.0,8.0,416.0,85.0,5.0,17.0,15.0,6.0,13.0,26.0,2.0,16.0,7.0,29.0,8.0,5.0,4.0,57.0,73.0,144.0,4.0,40.0,130.0,10.0,12.0,3388,766,286,0.6494,4.4864,2.1251,1.5939,0.0885,0.0,1.2692,0.2066,0.856,20.5136,0.0,0.0885,34.6812,0.0295,0.2361,12.2786,2.5089,0.1476,0.5018,0.4427,0.1771,0.3837,0.7674,0.059,0.4723,0.2066,0.856,0.2361,0.1476,0.1181,1.6824,2.1547,4.2503,0.1181,1.1806,3.8371,0.2952,0.3542,JxP
