ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_PNP,r1_FA,r1_PM,r1_PPS,r1_VN,r1_AP,r1_AvP,r1_PP,r1_JP,r1_PPC,r1_FP,r1_UPP,r1_RP,r1_RUNA,r1_SP,r1_PL,r1_DD,r1_APP,VOTOS_VB,VOTOS_VN,VOTOS_VI,r1_total_valid,r1_blank,r1_null,r1_pct_PNP,r1_pct_FA,r1_pct_PM,r1_pct_PPS,r1_pct_VN,r1_pct_AP,r1_pct_AvP,r1_pct_PP,r1_pct_JP,r1_pct_PPC,r1_pct_FP,r1_pct_UPP,r1_pct_RP,r1_pct_RUNA,r1_pct_SP,r1_pct_PL,r1_pct_DD,r1_pct_APP,r2_castillo,r2_fujimori,r2_blank,r2_null,r2_total_valid,r2_pct_castillo,r2_pct_fujimori,r2_margin,r2_winner
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,24.0,7.0,8.0,0.0,15.0,33.0,30.0,13.0,54.0,0.0,110.0,1.0,27.0,4.0,4.0,125.0,0.0,38.0,104.0,28.0,0.0,493.0,104.0,28.0,4.87,1.42,1.62,0.0,3.04,6.69,6.09,2.64,10.95,0.0,22.31,0.2,5.48,0.81,0.81,25.35,0.0,7.71,362.0,291.0,6.0,26.0,653.0,55.44,44.56,10.88,Castillo
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,35.0,2.0,9.0,0.0,19.0,45.0,26.0,3.0,40.0,0.0,45.0,3.0,56.0,3.0,5.0,49.0,1.0,37.0,76.0,49.0,0.0,378.0,76.0,49.0,9.26,0.53,2.38,0.0,5.03,11.9,6.88,0.79,10.58,0.0,11.9,0.79,14.81,0.79,1.32,12.96,0.26,9.79,342.0,172.0,9.0,21.0,514.0,66.54,33.46,33.08,Castillo
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,5.0,6.0,5.0,0.0,15.0,56.0,12.0,2.0,36.0,1.0,75.0,0.0,15.0,3.0,5.0,79.0,0.0,24.0,46.0,60.0,0.0,339.0,46.0,60.0,1.47,1.77,1.47,0.0,4.42,16.52,3.54,0.59,10.62,0.29,22.12,0.0,4.42,0.88,1.47,23.3,0.0,7.08,261.0,237.0,8.0,27.0,498.0,52.41,47.59,4.82,Castillo
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,44.0,6.0,15.0,0.0,31.0,118.0,60.0,22.0,139.0,3.0,135.0,3.0,77.0,3.0,14.0,240.0,1.0,55.0,209.0,102.0,0.0,966.0,209.0,102.0,4.55,0.62,1.55,0.0,3.21,12.22,6.21,2.28,14.39,0.31,13.98,0.31,7.97,0.31,1.45,24.84,0.1,5.69,780.0,525.0,20.0,74.0,1305.0,59.77,40.23,19.54,Castillo
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,9.0,5.0,4.0,0.0,9.0,34.0,7.0,2.0,63.0,4.0,29.0,1.0,18.0,1.0,5.0,51.0,0.0,30.0,53.0,22.0,0.0,272.0,53.0,22.0,3.31,1.84,1.47,0.0,3.31,12.5,2.57,0.74,23.16,1.47,10.66,0.37,6.62,0.37,1.84,18.75,0.0,11.03,281.0,112.0,5.0,24.0,393.0,71.5,28.5,43.0,Castillo
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,14.0,2.0,5.0,1.0,8.0,43.0,21.0,0.0,21.0,0.0,23.0,0.0,10.0,0.0,3.0,30.0,1.0,10.0,34.0,17.0,0.0,192.0,34.0,17.0,7.29,1.04,2.6,0.52,4.17,22.4,10.94,0.0,10.94,0.0,11.98,0.0,5.21,0.0,1.56,15.62,0.52,5.21,177.0,64.0,1.0,8.0,241.0,73.44,26.56,46.88,Castillo
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,51.0,2.0,2.0,1.0,3.0,51.0,9.0,4.0,28.0,0.0,9.0,0.0,13.0,0.0,2.0,34.0,1.0,15.0,89.0,44.0,0.0,225.0,89.0,44.0,22.67,0.89,0.89,0.44,1.33,22.67,4.0,1.78,12.44,0.0,4.0,0.0,5.78,0.0,0.89,15.11,0.44,6.67,356.0,76.0,6.0,25.0,432.0,82.41,17.59,64.82,Castillo
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,8.0,18.0,2.0,0.0,9.0,13.0,20.0,2.0,16.0,3.0,22.0,0.0,10.0,1.0,2.0,25.0,0.0,10.0,25.0,15.0,0.0,161.0,25.0,15.0,4.97,11.18,1.24,0.0,5.59,8.07,12.42,1.24,9.94,1.86,13.66,0.0,6.21,0.62,1.24,15.53,0.0,6.21,107.0,88.0,2.0,16.0,195.0,54.87,45.13,9.74,Castillo
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,29.0,2.0,3.0,0.0,10.0,73.0,16.0,1.0,44.0,0.0,50.0,2.0,9.0,2.0,4.0,37.0,1.0,7.0,44.0,29.0,0.0,290.0,44.0,29.0,10.0,0.69,1.03,0.0,3.45,25.17,5.52,0.34,15.17,0.0,17.24,0.69,3.1,0.69,1.38,12.76,0.34,2.41,238.0,145.0,4.0,10.0,383.0,62.14,37.86,24.28,Castillo
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,31.0,52.0,3.0,0.0,10.0,64.0,27.0,5.0,45.0,1.0,78.0,4.0,42.0,1.0,3.0,80.0,1.0,56.0,145.0,44.0,0.0,503.0,145.0,44.0,6.16,10.34,0.6,0.0,1.99,12.72,5.37,0.99,8.95,0.2,15.51,0.8,8.35,0.2,0.6,15.9,0.2,11.13,512.0,264.0,5.0,44.0,776.0,65.98,34.02,31.96,Castillo
