ubigeo,departamento,provincia,distrito,DQ1_bad_total_pop,DQ4_density_broken,DQ3_education_outlier,DQ2_pobreza_idh_outlier,total_pop_raw,pob_densidad_2020,recomputed_density_raw,recomputed_density_fixed,density_ratio_csv_over_2017,pct_superior_cualquiera,pct_pobreza_total,idh_2019,pobreza_idh_resid_z
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,False,False,True,False,32589.0,201.437117960723,211.91962543893874,211.91962543893874,0.9505354567492093,36.22,9.034625,0.642360593890392,-0.2914612953762692
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,False,True,False,False,1258.0,10.801393728223,25.78397212543554,25.78397212543554,0.418918918918919,10.17,31.977312,0.414755647270218,-0.15809968022966203
010201,AMAZONAS,BAGUA,BAGUA,False,False,True,False,27102.0,181.621299423803,179.49533081661036,179.49533081661036,1.0118441443435915,26.47,16.212835,0.5840630337731318,-0.13319284671677914
010501,AMAZONAS,LUYA,LAMUD,False,False,True,False,2227.0,31.9758238595481,32.04777665851202,32.04777665851202,0.9977548271216871,26.22,30.951386,0.485915285368237,0.38624809745131367
020101,ANCASH,HUARAZ,HUARAZ,False,False,True,False,60896.0,166.839880828657,140.64066144714658,140.64066144714658,1.1862848134524466,36.13,10.242455,0.6030793015789169,-0.5307907173080008
020105,ANCASH,HUARAZ,INDEPENDENCIA,False,False,True,False,76088.0,221.073042717597,221.86324537104534,221.86324537104534,0.9964383345599818,32.81,11.537697,0.584997707639346,-0.5704765191218716
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,False,False,True,False,3024.0,68.669714783366,65.8393207054213,65.8393207054213,1.0429894179894181,25.36,31.635651,0.4482516464400019,0.11160103025781896
021801,ANCASH,SANTA,CHIMBOTE,False,False,True,False,206213.0,169.818124589446,141.10261112327566,141.10261112327566,1.2035080232575055,26.7,15.745519,0.613828089761083,0.0908594565839314
021809,ANCASH,SANTA,NUEVO CHIMBOTE,False,False,True,False,159321.0,396.045980550638,408.7983988915403,408.7983988915403,0.9688051167140562,32.89,9.905873,0.6459598096056909,-0.17591827015229078
021901,ANCASH,SIHUAS,SIHUAS,False,False,True,False,5411.0,127.779045879936,123.51061401506504,123.51061401506504,1.034559231195712,29.5,27.851744,0.528514394401842,0.4751565152756324
030101,APURIMAC,ABANCAY,ABANCAY,False,False,True,False,69028.0,226.083623470789,220.487430925991,220.487430925991,1.0253810048096412,39.26,19.900498,0.6003753883715999,0.3655872492541283
030109,APURIMAC,ABANCAY,TAMBURCO,False,False,True,False,10861.0,177.326007326007,198.91941391941393,198.91941391941393,0.8914464598103288,35.66,19.734357,0.563719350968849,0.018956948321354326
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,False,False,True,False,42268.0,259.63471368675,242.76606742863706,242.76606742863706,1.0694851897416495,26.56,25.891636,0.51278881325191,0.14637322032538228
030401,APURIMAC,AYMARAES,CHALHUANCA,False,False,True,False,4928.0,12.7287956815785,15.288205000930695,15.288205000930695,0.8325892857142885,27.49,23.417227,0.5076215453766209,-0.13616236745892768
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,False,False,True,False,14525.0,28.4162196563324,33.01436494226748,33.01436494226748,0.8607228915662654,27.01,39.009247,0.499163551389036,1.2740232682832902
030712,APURIMAC,GRAU,VILCABAMBA,False,False,True,False,1233.0,141.530740276035,154.70514429109159,154.70514429109159,0.9148418491484177,38.55,30.130696,0.4265243541762179,-0.22794941756967171
040115,AREQUIPA,AREQUIPA,QUEQUEÑA,False,True,False,False,4784.0,60.1774978528485,136.95963355281992,136.95963355281992,0.4393812709030096,23.95,11.49163,0.603548562720571,-0.40746216451010464
050101,AYACUCHO,HUAMANGA,AYACUCHO,False,False,True,False,99427.0,1353.11033569967,1196.330164841776,1196.330164841776,1.1310509217818054,35.8,15.054646,0.550625263307005,-0.5453608005953992
050104,AYACUCHO,HUAMANGA,CARMEN ALTO,False,False,True,False,28252.0,1613.12785388128,1612.5570776255709,1612.5570776255709,1.0003539572419662,25.34,26.660474,0.530512143156053,0.3796112558129504
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,False,False,True,False,49034.0,3525.60895325872,3228.0447662936144,3228.0447662936144,1.092180935677284,34.51,18.759879,0.5434028420964149,-0.2572877136253493
050115,AYACUCHO,HUAMANGA,JESUS NAZARENO,False,False,True,False,18492.0,1292.80397022332,1147.1464019851117,1147.1464019851117,1.1269738265195717,35.77,16.283852,0.57624731718604,-0.19695267560335966
050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,False,False,True,False,28472.0,1976.61637931034,3068.1034482758623,3068.1034482758623,0.6442469794886188,27.73,13.243211,0.4899437684165859,-1.2656602509280854
050601,AYACUCHO,LUCANAS,PUQUIO,False,False,True,False,13919.0,16.9511674341839,16.06477153376499,16.06477153376499,1.0551763776133312,27.84,34.786636,0.4950731249259909,0.8345351987563822
050614,AYACUCHO,LUCANAS,SAISA,False,True,False,False,791.0,0.67133583874274,1.3512128459173216,1.3512128459173216,0.4968394437420986,19.34,50.023129,0.5329271301685689,2.6287535039057306
050701,AYACUCHO,PARINACOCHAS,CORACORA,False,False,True,False,13124.0,8.72367640648559,9.37823797171665,9.37823797171665,0.9302042060347455,25.38,37.181469,0.435592689132404,0.5260915322248993
050703,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,False,False,False,True,1722.0,0.933179307606224,1.5540955200173279,1.5540955200173279,0.6004645760743325,24.75,55.840313,0.513623210304806,3.0091501486820458
050801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,False,False,True,False,3231.0,11.1417744460005,13.30834500370706,13.30834500370706,0.8372021046115757,25.51,23.525361,0.519541519943789,-0.01828506871906474
051001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,False,False,True,False,1887.0,9.13364674278039,8.44862323707186,8.44862323707186,1.0810810810810811,26.63,32.611348,0.50695959906762,0.7344132809341636
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,False,False,True,False,218741.0,644.312065632022,571.5132988451691,571.5132988451691,1.127378955019864,32.31,19.74874,0.607017527674158,0.4110588172325075
060202,CAJAMARCA,CAJABAMBA,CACHACHI,False,False,False,True,23524.0,32.6774771262533,28.65949488919482,28.65949488919482,1.140197245366433,4.91,76.856871,0.2948350537014909,3.038442780588099
060602,CAJAMARCA,CUTERVO,CALLAYUC,False,False,False,True,9361.0,32.1214997626958,29.618731213415597,29.618731213415597,1.0844995192821287,4.86,75.643123,0.3376083017713409,3.308720036130949
060604,CAJAMARCA,CUTERVO,CUJILLO,False,False,False,True,2330.0,26.7603047828881,21.389883411365094,21.389883411365094,1.251072961373391,4.45,76.62892,0.311970210839353,3.17134116138322
060801,CAJAMARCA,JAEN,JAEN,False,False,True,False,94153.0,217.658445788739,175.24988366682177,175.24988366682177,1.2419891028432448,25.81,21.682199,0.580323994682938,0.3545036477546662
080101,CUSCO,CUSCO,CUSCO,False,False,True,False,114630.0,1176.20030975736,986.3190500774393,986.3190500774393,1.192515048416648,41.99,8.214426,0.6590839276578129,-0.21874302755699038
080104,CUSCO,CUSCO,SAN JERONIMO,False,False,True,False,57075.0,498.79040061931494,552.3030772208244,552.3030772208244,0.9031099430573808,35.06,11.983353,0.6549025615332809,0.10284555268367776
080105,CUSCO,CUSCO,SAN SEBASTIAN,False,False,True,False,112536.0,1116.71511627907,1258.2289803220035,1258.2289803220035,0.8875293239496695,39.99,7.710494,0.680629279615715,-0.0723577250196611
080106,CUSCO,CUSCO,SANTIAGO,False,False,True,False,94756.0,1618.53126792886,1359.0935169248423,1359.0935169248423,1.1908902866309268,33.1,8.301604,0.634895493929792,-0.4287124765248523
