ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
010517,Amazonas,LUYA,SAN FRANCISCO DEL YESO,0.00039219914,0.0018190914,1.5382017e-07,0.0,0.0,0.10900368,24.00275,False,10517
010519,Amazonas,LUYA,SAN JUAN DE LOPECANCHA,0.0,0.0,0.0,0.0,0.0,0.0,3.08495,False,10519
010520,Amazonas,LUYA,SANTA CATALINA,0.047651656,0.15999724,0.0022706804,0.0,0.0,3.8389242,2.03878,False,10520
010521,Amazonas,LUYA,SANTO TOMAS,0.0,0.0,0.0,0.0,0.0,0.0,3.4995801,False,10521
010522,Amazonas,LUYA,TINGO,0.013338284,0.01849302,0.00017790981,0.0,0.0,0.9057841,5.743,False,10522
010523,Amazonas,LUYA,TRITA,0.0,0.0,0.0,0.0,0.0,0.0,0.64693,False,10523
010601,Amazonas,RODRÍGUEZ DE MENDOZA,SAN NICOLÁS,0.012572504,0.071992435,0.00015806785,0.0,0.0,0.61042625,3.25278,False,10601
010602,Amazonas,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,0.00091509224,0.028501049,8.373938e-07,0.0,0.0,0.12322891,2.3298502,False,10602
010603,Amazonas,RODRÍGUEZ DE MENDOZA,COCHAMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.060200002,False,10603
010604,Amazonas,RODRÍGUEZ DE MENDOZA,HUAMBO,0.050415814,0.08463634,0.0025417544,0.0,0.0,0.93616617,5.3991804,False,10604
010605,Amazonas,RODRÍGUEZ DE MENDOZA,LIMABAMBA,0.0,0.0,0.0,0.0,0.0,0.0,4.54315,False,10605
010606,Amazonas,RODRÍGUEZ DE MENDOZA,LONGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.67545,False,10606
010607,Amazonas,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,0.000340508,0.0022436786,1.159457e-07,0.0,0.0,0.028267361,1.51482,False,10607
010608,Amazonas,RODRÍGUEZ DE MENDOZA,MILPUC,0.0,0.0,0.0,0.0,0.0,0.0,1.36921,False,10608
010609,Amazonas,RODRÍGUEZ DE MENDOZA,OMIA,0.0,0.0,0.0,0.0,0.0,0.0,13.03983,False,10609
010610,Amazonas,RODRÍGUEZ DE MENDOZA,SANTA ROSA,0.0,0.0,0.0,0.0,0.0,0.0,0.302,False,10610
010611,Amazonas,RODRÍGUEZ DE MENDOZA,TOTORA,0.0,0.0,0.0,0.0,0.0,0.0,0.91065,False,10611
010612,Amazonas,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,0.0,0.0,0.0,0.0,0.0,0.0,0.13386999,False,10612
010701,Amazonas,UTCUBAMBA,BAGUA GRANDE,0.040586293,0.6385574,0.0016472471,0.00091457384,0.0,1.5509063,35.732967,False,10701
010702,Amazonas,UTCUBAMBA,CAJARURO,0.00020252322,0.0017367402,4.1015657e-08,0.0011277724,0.0,0.02856387,9.38625,False,10702
010703,Amazonas,UTCUBAMBA,CUMBA,0.0,0.0,0.0,0.0,0.0,0.0,10.51005,False,10703
010705,Amazonas,UTCUBAMBA,JAMALCA,0.014778939,0.5494331,0.00021841704,0.0,0.0,1.0533434,3.7525,False,10705
010706,Amazonas,UTCUBAMBA,LONYA GRANDE,0.38913286,0.38913286,0.15142438,0.0,0.0,28.985352,38.76909,False,10706
010707,Amazonas,UTCUBAMBA,YAMON,0.0,0.0,0.0,0.0,0.0,0.0,3.8635,False,10707
020101,Áncash,HUARAZ,HUARAZ,0.66476226,0.8081014,0.44190887,0.0,1.0,3.6910698,26.92507,False,20101
020102,Áncash,HUARAZ,COCHABAMBA,0.07148547,0.616153,0.005110172,0.0,0.0,2.9148717,0.30315,False,20102
020103,Áncash,HUARAZ,COLCABAMBA,0.00020105054,0.002674379,4.042132e-08,0.0,0.0,0.012443856,0.08383,False,20103
020104,Áncash,HUARAZ,HUANCHAY,0.22424753,1.0,0.050286956,0.0,0.0,10.354874,1.32146,False,20104
020106,Áncash,HUARAZ,JANGAS,0.38619253,0.5981215,0.14914466,0.0,0.0,2.80687,5.84391,False,20106
020107,Áncash,HUARAZ,LA LIBERTAD,0.051941805,0.5738441,0.0026979512,0.0,0.0,1.5713993,1.01563,False,20107
020108,Áncash,HUARAZ,OLLEROS,0.29002628,1.0,0.084115244,0.0,0.0,0.0,0.54632,False,20108
020109,Áncash,HUARAZ,PAMPAS,0.0005413562,0.0026743787,2.9306656e-07,0.0,0.0,0.055962943,6.22532,False,20109
020110,Áncash,HUARAZ,PARIACOTO,0.6193134,1.0,0.38354912,0.0,1.0,18.882011,0.19569999,False,20110
020111,Áncash,HUARAZ,PIRA,0.5564682,1.0,0.30965686,0.0,1.0,13.652349,5.84434,False,20111
020112,Áncash,HUARAZ,TARICA,0.35264298,1.0,0.124357074,0.0,0.0,4.9252944,0.75069,False,20112
020201,Áncash,AIJA,AIJA,0.21685576,0.36241832,0.047026422,0.020970806,0.0,0.0,7.93791,False,20201
020202,Áncash,AIJA,CORIS,0.49295372,1.0,0.24300337,0.0,0.0,43.306477,11.04105,False,20202
020203,Áncash,AIJA,HUACLLAN,0.614098,1.0,0.37711638,0.0,1.0,18.728874,0.70065004,False,20203
020204,Áncash,AIJA,LA MERCED,0.33349365,1.0,0.11121801,0.0,0.0,0.0,2.27942,False,20204
020205,Áncash,AIJA,SUCCHA,0.0009283634,0.0032722617,8.618586e-07,0.0,0.0,0.028020784,1.69889,False,20205
020301,Áncash,ANTONIO RAYMONDI,LLAMELLIN,0.008298049,0.024097994,6.885761e-05,0.0,0.0,0.10199202,2.87393,False,20301
020302,Áncash,ANTONIO RAYMONDI,ACZO,0.004378041,0.004378041,1.916724e-05,0.0,0.0,0.12332831,19.268919,False,20302
020303,Áncash,ANTONIO RAYMONDI,CHACCHO,0.0008163408,0.0026743787,6.664123e-07,0.0,0.0,0.014494383,2.12748,False,20303
020304,Áncash,ANTONIO RAYMONDI,CHINGAS,0.0067874263,0.008544282,4.6069155e-05,0.0,0.0,0.0,3.49072,False,20304
020305,Áncash,ANTONIO RAYMONDI,MIRGAS,0.38412932,1.0,0.14755534,0.0,0.0,4.365923,2.44632,False,20305
020401,Áncash,ASUNCIÓN,CHACAS,0.27359465,1.0,0.07485403,0.0,0.0,5.6300015,3.6453402,False,20401
020501,Áncash,BOLOGNESI,CHIQUIAN,0.18269493,1.0,0.033377435,0.0,0.0,2.2044563,1.03478,False,20501
020502,Áncash,BOLOGNESI,ABELARDO PARDO LEZAMETA,0.0006106218,0.002674379,3.72859e-07,0.0,0.0,0.016902978,0.23409,False,20502
020503,Áncash,BOLOGNESI,ANTONIO RAYMONDI,8.306344e-05,0.002674379,6.8995347e-09,0.0,0.0,0.0041477187,0.28743,False,20503
020504,Áncash,BOLOGNESI,AQUIA,0.06914057,1.0,0.0047804182,0.0,0.0,0.0,0.78709,False,20504
020505,Áncash,BOLOGNESI,CAJACAY,0.043719973,0.056010723,0.0019114361,0.0,0.0,5.2599444,68.25303,False,20505
020506,Áncash,BOLOGNESI,CANIS,0.000383438,0.0027452651,1.4702469e-07,0.0,0.0,0.012387888,0.18438001,False,20506
020507,Áncash,BOLOGNESI,COLQUIOC,0.0022482171,0.16970642,5.0544804e-06,0.0,0.0,0.29176512,0.35674,False,20507
020508,Huanuco,BOLOGNESI,HUALLANCA,0.8527447,1.0,0.7271735,0.0,1.0,48.901917,19.684381,False,20508
020509,Áncash,BOLOGNESI,HUASTA,0.15080616,0.69940424,0.022742497,0.0,0.0,0.0,27.135471,False,20509
020510,Áncash,BOLOGNESI,HUAYLLACAYAN,0.00019376841,0.0029481149,3.7546197e-08,0.0,0.0,0.007128432,0.84323996,False,20510
020512,Áncash,BOLOGNESI,MANGAS,6.643231e-05,0.002674379,4.4132515e-09,0.0,0.0,0.005146136,0.37223998,False,20512
020513,Áncash,BOLOGNESI,PACLLON,0.004927708,0.17993906,2.4282304e-05,0.0,0.0,0.21927436,0.54056,False,20513
020514,Áncash,BOLOGNESI,SAN MIGUEL DE CORPANQUI,0.0005583341,0.0027006795,3.1173698e-07,0.0,0.0,0.019129267,0.57957,False,20514
020515,Áncash,BOLOGNESI,TICLLOS,0.00021022171,0.002674379,4.419317e-08,0.0,0.0,0.005367474,0.55809003,False,20515
020601,Áncash,CARHUAZ,CARHUAZ,0.11427251,1.0,0.013058207,0.0,0.0,1.1484666,0.79534,False,20601
020602,Áncash,CARHUAZ,ACOPAMPA,0.60911494,1.0,0.371021,0.0,1.0,1.9922267,0.35569,False,20602
020603,Áncash,CARHUAZ,AMASHCA,0.22061889,0.3928926,0.048672695,0.0,0.0,0.752388,0.39619,False,20603
020604,Áncash,CARHUAZ,ANTA,0.1582119,0.74964124,0.025031006,0.0,0.0,0.0,0.60818,False,20604
020605,Áncash,CARHUAZ,ATAQUERO,1.0,1.0,1.0,0.0,1.0,0.33104536,0.109730005,False,20605
020606,Áncash,CARHUAZ,MARCARA,0.18684775,1.0,0.03491208,0.0,0.0,2.444845,1.24755,False,20606
020607,Áncash,CARHUAZ,PARIAHUANCA,0.17866817,0.45953113,0.031922314,0.0,0.0,0.75128895,0.25737,False,20607
020608,Áncash,CARHUAZ,SAN MIGUEL DE ACO,0.04529485,1.0,0.0020516235,0.0,0.0,1.7595896,0.23341,False,20608
020609,Áncash,CARHUAZ,SHILLA,0.08848428,1.0,0.007829468,0.0,0.0,2.3368816,0.42935002,False,20609
020610,Áncash,CARHUAZ,TINCO,0.22699715,0.8892125,0.05152771,0.0,0.0,1.1462379,0.14508,False,20610
020701,Áncash,CARLOS FERMÍN FITZCARRALD,SAN LUIS,0.55739546,1.0,0.3106897,0.0,1.0,6.894207,5.1798596,False,20701
020703,Áncash,CARLOS FERMÍN FITZCARRALD,YAUYA,0.36254779,1.0,0.1314409,0.0,0.0,9.068481,5.3575897,False,20703
020801,Áncash,CASMA,CASMA,0.021559695,0.6494931,0.00046482045,0.0,0.0,1.1348797,1.26625,False,20801
